,animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,class,fly
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,0
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,0
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,0
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,4,0
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,1,0
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,7,0
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,0
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,0
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4,0
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,2,0
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,2,0
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6,0
